title,service_name,url,tags
"Rate of Housing Vouchers per 1,000 Rental Units",Hcvhouse,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hcvhouse/FeatureServer,housing
"Juvenile Arrest Rate for Violent Offenses per 1,000 Juveniles",Juvviol,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Juvviol/FeatureServer,crime
Median Number of Days on the Market,Dom,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Dom/FeatureServer,housing|  housing & development
Percent Population 16-64 Not in Labor Force,Nilf,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Nilf/FeatureServer,workforce
"Fast Food Outlet Density per 1,000 Residents",Fastfd,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Fastfd/FeatureServer,health
Average Healthy Food Availability Index,Hfai,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hfai/FeatureServer,health
Community Statistical Areas (2020),Community_Statistical_Areas_2020,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Community_Statistical_Areas_2020/FeatureServer,boundaries| 2020| community statistical area| csa| bnia
Percentage of Population aged 16-19 in School and/or Employed,Sclemp,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Sclemp/FeatureServer,education
Percent of Residents - Asian (Non-Hispanic),Pasi,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pasi/FeatureServer,census
Percent Population (25 Years and over) With Less Than a High School Diploma or GED,Lesshs,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Lesshs/FeatureServer,workforce
Percent Population 16-64 Employed,Empl,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Empl/FeatureServer,workforce
Percent of Children (aged 0-6) with Elevated Blood Lead Levels,Ebll,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Ebll/FeatureServer,health
Total Number of Employees by Selected Neighborhood Industry (NAICS Sectors),Neiemp,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Neiemp/FeatureServer,workforce
Community Change Database,Community_Change_Database,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Community_Change_Database/FeatureServer,demographics| occupancy| accessibility| connectivity| housing diversity| quality of life
"Neighborhood Businesses per 1,000 Residents (NAICS Sectors)",Neibus,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Neibus/FeatureServer,workforce
Percentage of Students Passing H.S.A. Government,Hsagov,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hsagov/FeatureServer,education
Percentage of Students Passing H.S.A. English,Hsaeng,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hsaeng/FeatureServer,education
Kindergarten School Readiness,Ready,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Ready/FeatureServer,education
Percent Population (25 Years and over) With High School Diploma and Some College or Associates Degree,Hsdipl,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hsdipl/FeatureServer,workforce
"Violent Crime Rate per 1,000 Residents",Viol,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Viol/FeatureServer,crime
Percent Population (25 Years and over) with a Bachelor's Degree or Above,Bahigher,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Bahigher/FeatureServer,workforce
Percent of Students Switching Schools within School Year,Sclsw,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Sclsw/FeatureServer,education
Percentage of Students Passing H.S.A. Algebra,Hsaalg,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hsaalg/FeatureServer,education
